"size","gender","age","edu","wealthC"
4,"1",39,2,4
4,"2",28,2,4
4,"2",7,1,4
4,"1",6,0,4
2,"1",28,3,4
2,"2",26,2,4
2,"1",33,2,4
2,"1",18,2,4
6,"1",50,1,4
6,"2",30,0,4
6,"1",15,2,4
6,"2",8,1,4
6,"1",3,0,4
6,"2",15,2,4
4,"2",25,0,4
4,"1",34,1,4
4,"2",5,0,4
4,"2",10,1,4
1,"1",24,2,4
3,"1",28,2,4
3,"2",26,3,4
3,"1",6,0,4
2,"1",42,0,5
2,"1",3,0,5
2,"2",52,2,4
2,"2",20,2,4
2,"1",20,2,4
2,"1",21,2,4
7,"1",38,1,5
7,"2",30,0,5
7,"2",13,1,5
7,"1",4,0,5
7,"1",2,0,5
7,"2",15,0,5
7,"2",11,1,5
3,"2",26,2,5
3,"1",29,3,5
3,"2",3,0,5
5,"1",55,0,5
5,"2",50,0,5
5,"2",18,2,5
5,"2",13,1,5
5,"2",15,2,5
7,"1",28,0,4
7,"2",22,0,4
7,"2",4,0,4
7,"2",3,0,4
7,"2",20,0,4
7,"1",2,0,4
7,"1",1,0,4
3,"1",61,0,4
3,"2",54,0,4
3,"1",10,1,4
3,"1",31,0,4
3,"2",22,0,4
3,"2",3,0,4
3,"1",33,0,4
3,"2",26,2,4
3,"1",2,0,4
2,"1",32,0,4
2,"1",12,0,4
1,"1",36,2,5
6,"1",46,0,4
6,"2",46,0,4
6,"2",23,2,4
6,"1",20,2,4
6,"2",16,2,4
6,"2",13,1,4
4,"2",22,0,5
4,"1",50,0,5
4,"2",3,0,5
4,"1",5,0,5
5,"2",25,1,5
5,"1",40,0,5
5,"2",60,0,5
5,"2",16,2,5
5,"2",1,0,5
7,"2",45,0,5
7,"2",20,1,5
7,"2",28,0,5
7,"2",10,0,5
7,"2",7,0,5
7,"1",3,0,5
7,"1",0,0,5
9,"1",56,2,5
9,"2",35,0,5
9,"1",0,0,5
9,"1",15,1,5
9,"1",20,2,5
9,"1",22,2,5
9,"1",25,3,5
9,"1",10,0,5
9,"2",18,2,5
6,"1",46,1,3
6,"1",29,1,3
6,"2",17,1,3
6,"2",11,1,3
6,"2",0,0,3
6,"2",8,0,3
1,"1",75,2,4
5,"2",39,2,3
5,"1",18,2,3
5,"1",13,1,3
5,"2",16,2,3
5,"1",9,1,3
4,"2",54,1,5
4,"2",89,0,5
4,"2",17,1,5
4,"1",0,0,5
5,"2",27,1,4
5,"1",32,2,4
5,"2",75,0,4
5,"2",5,0,4
5,"2",9,0,4
5,"2",52,0,4
5,"1",57,0,4
5,"1",23,2,4
5,"2",20,0,4
5,"2",8,0,4
3,"2",23,0,4
3,"1",25,2,4
3,"2",3,0,4
5,"2",78,0,4
5,"2",80,0,4
5,"1",13,1,4
5,"1",18,2,4
5,"1",15,1,4
8,"1",72,0,5
8,"2",29,1,5
8,"1",20,2,5
8,"2",15,1,5
8,"1",26,1,5
8,"2",1,0,5
8,"1",7,1,5
8,"1",6,1,5
9,"2",35,2,5
9,"1",42,0,5
9,"1",20,2,5
9,"2",16,2,5
9,"2",14,1,5
9,"2",10,1,5
9,"2",2,0,5
9,"1",6,0,5
9,"1",17,2,5
2,"1",23,0,5
2,"2",21,1,5
7,"2",37,0,4
7,"1",19,2,4
7,"1",15,2,4
7,"1",8,1,4
7,"2",10,1,4
7,"1",4,0,4
7,"2",6,0,4
4,"1",47,1,5
4,"2",34,0,5
