"","location","size","wealth","gender","age","education"
"438",4,9,5,1,76,2
"439",4,7,4,1,49,0
"440",4,10,4,1,42,2
"441",4,15,5,1,59,2
"442",4,4,4,1,60,0
"443",4,6,4,1,51,2
"444",4,12,5,1,47,2
"445",4,5,5,2,38,2
"446",4,5,4,1,43,2
"447",4,12,5,2,41,3
"448",4,3,3,1,22,2
"449",4,2,5,1,48,2
"450",4,1,5,1,28,2
"451",4,1,5,1,52,3
"452",4,4,4,1,34,2
"453",4,10,4,1,48,2
"454",4,3,3,1,30,2
"455",4,1,4,1,36,0
"456",4,2,5,1,40,2
"457",4,6,5,1,40,1
"458",4,3,3,1,24,0
"459",4,7,5,1,48,3
"460",4,10,3,1,56,2
"461",4,4,4,1,55,1
"462",6,1,1,1,41,1
"463",6,5,1,1,33,2
"464",6,8,1,1,47,1
"465",6,8,4,1,39,2
"466",6,1,2,1,44,3
"467",6,1,1,2,38,0
"468",6,8,1,1,37,1
"469",6,4,2,2,50,1
"470",6,8,1,2,51,0
"471",6,2,1,1,37,2
"472",6,3,1,2,86,0
"473",6,4,2,1,31,2
"474",6,5,2,1,34,0
"475",6,4,1,2,35,0
"476",6,8,3,1,52,2
"477",6,4,1,1,41,2
"478",6,6,2,1,42,0
"479",6,4,2,1,51,2
"480",6,3,1,1,30,0
"481",6,10,1,1,42,2
"482",6,6,1,1,42,2
"483",6,13,3,1,32,2
"484",6,9,2,1,56,2
"485",6,6,2,1,51,1
"486",6,9,1,1,29,0
"487",6,3,2,1,37,2
"488",6,1,2,1,24,1
"489",6,1,4,1,33,1
"490",6,19,1,1,44,1
"491",6,2,1,1,80,0
"492",11,7,2,2,58,0
"493",11,2,2,2,59,0
"494",11,2,3,1,32,2
"495",11,3,3,2,29,0
"496",11,7,2,1,64,0
"497",11,8,3,2,21,1
"498",11,7,2,1,52,2
"499",11,7,3,1,34,2
"500",11,7,2,1,42,1
"501",11,1,1,2,54,0
"502",11,9,2,1,49,0
"503",11,8,2,2,39,0
"504",11,9,4,1,36,2
"505",11,4,3,2,25,1
"506",11,6,1,2,38,0
"507",11,15,4,1,40,3
"508",11,12,4,1,48,3
"509",11,12,4,2,70,0
"510",11,3,1,2,75,0
"511",11,2,3,1,71,0
"512",11,9,2,2,33,0
"513",11,2,1,2,19,1
"514",11,9,1,1,57,0
"515",11,7,3,1,62,0
"516",11,6,2,2,46,0
"517",11,3,3,1,38,1
"518",11,2,3,1,40,2
"519",11,2,2,2,43,0
"520",11,5,3,1,44,2
"521",11,4,2,2,74,0
"522",11,6,4,2,58,0
"523",11,3,4,1,21,2
"524",11,6,4,2,36,3
"525",11,4,4,2,29,2
"526",11,5,5,1,38,2
"527",11,4,5,1,38,3
"528",11,13,5,1,50,3
"529",11,3,4,2,26,3
"530",11,4,5,2,43,2
"531",11,12,5,2,31,2
"532",11,4,4,2,20,2
"533",11,5,4,1,97,3
"534",11,6,5,1,40,2
"535",11,9,4,2,46,0
"536",11,4,4,2,60,0
"537",11,3,4,1,23,3
"538",11,1,5,1,32,2
"539",11,6,4,2,39,0
"540",11,4,3,2,30,1
"541",11,1,5,1,26,3
"542",11,5,5,2,38,1
"543",11,6,4,1,25,3
"544",11,8,5,1,46,2
"545",11,5,5,1,44,1
"546",11,2,5,2,20,2
"547",11,3,4,2,25,2
"548",11,4,4,2,27,3
"549",11,6,4,1,52,3
"550",11,3,4,1,50,3
"551",11,6,5,1,63,3
"552",15,3,3,2,21,2
"553",15,14,2,1,43,0
"554",15,10,4,1,62,2
"555",15,12,1,1,69,0
"556",15,2,3,1,20,2
"557",15,5,1,2,60,0
"558",15,8,3,2,47,0
"559",15,6,3,1,50,2
"560",15,10,5,1,43,2
"561",15,3,3,1,20,2
"562",15,7,3,1,59,0
"563",15,16,5,1,60,3
"564",15,3,4,1,25,0
"565",15,7,4,2,36,0
"566",15,4,4,2,28,2
"567",15,12,3,2,20,2
"568",15,10,2,2,37,1
"569",15,6,5,1,25,2
"570",15,2,3,2,68,0
"571",15,2,3,2,17,1
"572",15,19,2,2,70,0
"573",15,5,4,2,38,2
"574",15,13,3,2,42,0
"575",15,8,3,2,19,0
"576",15,7,3,2,39,0
"577",15,6,3,1,29,2
"578",15,1,1,2,73,2
"579",15,8,2,2,43,0
"580",15,3,4,1,22,2
"581",15,3,4,1,50,3
"582",8,3,3,1,22,2
"583",8,6,2,1,30,0
"584",8,4,4,1,31,0
"585",8,5,2,1,35,0
"586",8,4,4,1,34,1
"587",8,6,4,1,65,0
"588",8,4,2,1,45,0
"589",8,5,3,1,25,2
"590",8,7,3,1,35,2
"591",8,5,3,1,55,0
"592",8,5,4,1,35,0
"593",8,10,3,2,55,0
"594",8,5,2,1,51,0
"595",8,1,2,1,18,0
"596",8,5,2,1,57,0
"597",8,3,3,2,20,2
"598",8,2,2,2,16,2
"599",8,7,3,1,38,0
"600",8,6,2,2,80,0
"601",8,2,3,2,49,0
"602",8,3,1,2,55,0
"603",8,4,3,2,65,0
"604",8,4,4,1,40,0
"605",8,5,2,2,30,0
"606",8,4,3,1,45,0
"607",8,5,3,2,75,0
"608",8,3,4,1,32,2
"609",8,5,2,1,32,2
"610",8,19,1,2,55,0
"611",8,2,2,2,20,1
"612",14,2,4,2,50,0
"613",14,4,1,1,31,1
"614",14,7,1,1,48,1
"615",14,1,3,1,52,3
"616",14,6,2,1,49,2
"617",14,5,3,2,68,0
"618",14,1,3,1,19,2
"619",14,1,3,1,40,2
"620",14,2,2,2,50,0
"621",14,8,3,1,48,2
"622",14,4,2,2,42,2
"623",14,3,1,1,65,0
"624",14,3,1,1,36,1
"625",14,7,2,2,46,1
"626",14,10,3,1,58,2
"627",14,1,1,2,51,2
"628",14,8,2,1,49,2
"629",14,6,3,2,27,1
"630",14,8,3,2,52,2
